"","Ancestor","Clan"
"1","PreLACA","CL0539"
"2","PreLACA","CL0060"
"3","PreLACA","CL0012"
"4","PreLACA","PF00832"
"5","PreLACA","PF00926"
"6","PreLACA","PF00958"
"7","PreLACA","PF01172"
"8","PreLACA","CL0509"
"9","PreLACA","CL0229"
"10","PreLACA","PF01775"
"11","PreLACA","CL0639"
"12","PreLACA","PF01877"
"13","PreLACA","CL0734"
"14","PreLACA","CL0200"
"15","PreLACA","PF01984"
"16","PreLACA","PF01997"
"17","PreLACA","CL0747"
"18","PreLACA","CL0402"
"19","PreLACA","PF03833"
"20","PreLACA","PF04032"
"21","PreLACA","PF04312"
"22","PreLACA","PF04406"
"23","PreLACA","PF04457"
"24","PreLACA","PF04895"
"25","PreLACA","PF05559"
"26","PreLACA","CL0214"
"27","PreLACA","PF08069"
"28","PreLACA","PF08071"
"29","PreLACA","CL0668"
"30","PreLACA","PF09892"
"31","PreLACA","PF16897"
"32","PreLBCA","CL0465"
"33","PreLBCA","CL0318"
"34","PreLBCA","CL0220"
"35","PreLBCA","CL0090"
"36","PreLBCA","CL0056"
"37","PreLBCA","CL0027"
"38","PreLBCA","PF00079"
"39","PreLBCA","CL0714"
"40","PreLBCA","CL0037"
"41","PreLBCA","PF00183"
"42","PreLBCA","CL0255"
"43","PreLBCA","PF00221"
"44","PreLBCA","CL0193"
"45","PreLBCA","CL0290"
"46","PreLBCA","CL0293"
"47","PreLBCA","PF00460"
"48","PreLBCA","PF00468"
"49","PreLBCA","CL0713"
"50","PreLBCA","CL0357"
"51","PreLBCA","PF00521"
"52","PreLBCA","CL0459"
"53","PreLBCA","PF00547"
"54","PreLBCA","CL0314"
"55","PreLBCA","CL0203"
"56","PreLBCA","CL0066"
"57","PreLBCA","CL0241"
"58","PreLBCA","PF00691"
"59","PreLBCA","CL0323"
"60","PreLBCA","CL0055"
"61","PreLBCA","PF00817"
"62","PreLBCA","CL0374"
"63","PreLBCA","CL0077"
"64","PreLBCA","CL0633"
"65","PreLBCA","CL0169"
"66","PreLBCA","PF01139"
"67","PreLBCA","PF01149"
"68","PreLBCA","CL0727"
"69","PreLBCA","CL0082"
"70","PreLBCA","CL0401"
"71","PreLBCA","PF01337"
"72","PreLBCA","PF01346"
"73","PreLBCA","CL0359"
"74","PreLBCA","CL0170"
"75","PreLBCA","CL0244"
"76","PreLBCA","PF01510"
"77","PreLBCA","CL0228"
"78","PreLBCA","PF01618"
"79","PreLBCA","CL0670"
"80","PreLBCA","PF01668"
"81","PreLBCA","CL0269"
"82","PreLBCA","CL0502"
"83","PreLBCA","CL0481"
"84","PreLBCA","CL0283"
"85","PreLBCA","CL0084"
"86","PreLBCA","PF01894"
"87","PreLBCA","CL0499"
"88","PreLBCA","CL0273"
"89","PreLBCA","CL0572"
"90","PreLBCA","PF01967"
"91","PreLBCA","CL0424"
"92","PreLBCA","PF02245"
"93","PreLBCA","PF02397"
"94","PreLBCA","CL0298"
"95","PreLBCA","CL0348"
"96","PreLBCA","CL0597"
"97","PreLBCA","CL0349"
"98","PreLBCA","CL0251"
"99","PreLBCA","PF02508"
"100","PreLBCA","CL0627"
"101","PreLBCA","PF02609"
"102","PreLBCA","PF02610"
"103","PreLBCA","PF02623"
"104","PreLBCA","PF02625"
"105","PreLBCA","CL0245"
"106","PreLBCA","PF02660"
"107","PreLBCA","PF02698"
"108","PreLBCA","PF02706"
